, Population,
,32225560,Afghanistan;
,2845955,Albania;
,43000000,Algeria;
,77543,Andorra;
,31127674,Angola;
,96453,Antigua and Barbuda;
,44938712,Argentina;
,2957500,Armenia;
,25660195,Australia;
,8902600,Austria;
,10067108,Azerbaijan;
,385340,Bahamas;
,1543300,Bahrain;
,168343790,Bangladesh;
,287025,Barbados;
,9413446,Belarus;
,11524454,Belgium;
,7123205,Belize;
,11733059,Benin;
,741672,Bhutan;
,11469896,Bolivia;
,3301000,Bosnia and Herzegovina;
,,Botswana;
,211314648,Brazil;
,442400,Brunei;
,7000039,Bulgaria;
,20870060,Burkina Faso;
,,Burma;
,,Burundi;
,550483,Cabo Verde;
,15288489,Cambodia;
,26545864,Cameroon;
,37973245,Canada;
,5496011,Central African Republic;
,15692969,Chad;
,19107216,Chile;
,1401957560,China;
,49395678,Colombia;
,,Comoros;
,5518092,Congo (Brazzaville);
,89561404,Congo (Kinshasa);
,5058007,Costa Rica;
,25823071,Cote d'Ivoire;
,4076246,Croatia;
,11209628,Cuba;
,875900,Cyprus;
,10693939,Czechia;
,5822763,Denmark;
,,Diamond Princess;
,1078373,Djibouti;
,112003,Dominica;
,10358320,Dominican Republic;
,17453344,Ecuador;
,100176928,Egypt;
,6486201,El Salvador;
,1358276,Equatorial Guinea;
,3497117,Eritrea;
,1328360,Estonia;
,1093238,Eswatini;
,98665000,Ethiopia;
,884887,Fiji;
,5527573,Finland;
,67076000,France;
,2172579,Gabon;
,2347706,Gambia;
,3723464,Georgia;
,83149300,Germany;
,30280811,Ghana;
,10724599,Greece;
,30066648,Grenada;
,16604026,Guatemala;
,19973000,Guinea-Bissau;
,12218357,Guinea;
,782766,Guyana;
,11577779,Haiti;
,,Holy See;
,799,
,9158345,Honduras;
,9772756,Hungary;
,364260,Iceland;
,1360335713,India;
,266911900,Indonesia;
,83317423,Iran;
,39127900,Iraq;
,4921500,Ireland;
,9177750,Israel;
,60243406,Italy;
,2726667,Jamaica;
,125950000,Japan;
,10645776,Jordan;
,18671392,Kazakhstan;
,47564296,Kenya;
,51780579,"Korea, South;"
,,Kosovo;
,4420110,Kuwait;
,6523500,Kyrgyzstan;
,6871287,Laos;
,1906800,Latvia;
,6825442,Lebanon;
,,Lesotho;
,4475353,Liberia;
,4976684,Libya;
,38749,Liechtenstein;
,2793471,Lithuania;
,613894,Luxembourg;
,25680342,Madagascar;
,,Malawi;
,32732760,Malaysia;
,374775,Maldives;
,52823,Mali;
,493559,Malta;
,4077347,Mauritania;
,1265985,Mauritius;
,126577691,Mexico;
,2681735,Moldova;
,38300,Monaco;
,3309771,Mongolia;
,622359,Montenegro;
,35851881,Morocco;
,17500657,Mozambique;
,,MS Zaandam;
,2458936,Namibia;
,29996478,Nepal
,17449281,Netherlands
,4973732,New Zealand;
,6460411,Nicaragua;
,22314743,Niger;
,206139587,Nigeria;
,2077132,North Macedonia;
,5367580,Norway;
,4664790,Oman;
,219093520,Pakistan;
,4218808,Panama;
,8935000,Papua New Guinea;
,7152703,Paraguay;
,32131400,Peru;
,108464476,Philippines;
,38386000,Poland;
,10276617,Portugal;
,2747282,Qatar;
,19405156,Romania;
,146745098,Russia;
,12374397,Rwanda;
,,Saint Kitts and Nevis;
,178696,Saint Lucia;
,110608,Saint Vincent and the Grenadines;
,33574,San Marino;
,,Sao Tome and Principe;
,34218169,Saudi Arabia;
,16209125,Senegal;
,6963764,Serbia;
,97625,Seychelles;
,5703600,Sierra Leone;
,5456362,Singapore;
,2094060,Slovakia;
,15893219,Slovenia;
,58775022,Somalia;
,47100396,South Africa;
,,South Sudan;
,21803000,Spain;
,42379965,Sri Lanka;
,581372,Sudan;
,10333456,Suriname;
,8586550,Sweden;
,23604265,Switzerland;
,1387149,Syria;
,55890747,Taiwan*;
,,Tajikistan;
,66486667,Tanzania;
,7538000,Thailand;
,408487,Timor-Leste;
,1363985,Togo;
,11722038,Trinidad and Tobago;
,83154997,Tunisia;
,40299300,Turkey;
,41879904,Uganda;
,9890400,Ukraine;
,66435600,United Arab Emirates;
,3518552,United Kingdom;
,329527888,Uruguay;
,34094443,US;
,32219521,Uzbekistan;
,96208984,Venezuela;
,17381168,Vietnam;
,,West Bank and Gaza;
,,Western Sahara;
,,Yemen;
,15159624,Zambia;
,71808,Zimbabwe
